index,x_m,y_m
746,700080.514724497,9306944.396689095
747,700070.7427552801,9306994.221914379
748,700069.5229281292,9307019.199308904
749,697990.0542950506,9307934.732386999
750,697994.9050017591,9307951.958021978
751,698947.0553671384,9309338.703401696
752,698943.7147555051,9309306.80728675
753,698967.7971979855,9310483.907962477
754,697079.4599038998,9308967.473774934
755,696104.7534502605,9310142.125194583
756,696768.5904055187,9311419.294558892
757,695437.6601523672,9307575.161682658
758,697028.3071369978,9309798.578393392
759,698455.44534468,9309254.27288503
760,696955.3974341709,9310913.76108185
761,699231.2198869678,9311099.876349231
762,695915.7297115519,9304315.014265856
763,695913.2018699306,9304418.148577666
764,696538.7269804425,9304490.629401656
765,698811.1689650699,9305586.559335625
766,700150.0331682335,9310018.5632211
767,698858.0758329413,9306558.589810796
768,696191.6288476693,9303648.474684112
769,696175.2826692413,9303682.256661795
770,696752.6471604792,9304610.833799317
771,701628.6282812915,9303983.33083059
772,696528.8285964859,9306028.169287633
773,696502.4897990276,9306070.539729262
774,696469.1483806679,9306107.145979328
775,696432.8600203365,9306126.483282205
776,697993.5163138529,9310323.383048462
777,698993.1937554984,9310697.076381946
778,698993.2156316617,9310658.04628117
779,699848.9615934413,9304507.715174329
